Number of buckets, Update linear, Percentile linear, Mixed linear, Update exponential, Percentile exponential, Mixed exponential, Update custom, Percentile custom, Mixed custom, Update all, Percentile all, Mixed all\n
2100, 0.067739, 0.025327, 0.193489, 4.468547, 0.026095, 4.000616, 0.251490, 0.026463, 0.244464, 1.691646, 0.004854, 1.487783 
2150, 0.071166, 0.151248, 0.077903, 4.662340, 0.025929, 4.053189, 0.258254, 0.152574, 0.250085, 1.584027, 0.004858, 1.506182 
2200, 0.073536, 0.025015, 0.203599, 4.699883, 0.026149, 4.223677, 0.262526, 0.027604, 0.254165, 1.726672, 0.004892, 1.522960 
2250, 0.202429, 0.025125, 0.200878, 4.779528, 0.026298, 4.274661, 0.393835, 0.026817, 0.260097, 1.748776, 0.004792, 1.541935 
2300, 0.080949, 0.024911, 0.202860, 4.801053, 0.151785, 4.318386, 0.274968, 0.151688, 0.264652, 1.767598, 0.004751, 1.562911 
2350, 0.083390, 0.150333, 0.080902, 4.982360, 0.025787, 4.643531, 0.280885, 0.027798, 0.270419, 1.788931, 0.004749, 1.704673 
2400, 0.212449, 0.025571, 0.208292, 5.029073, 0.025570, 4.748748, 0.411552, 0.027355, 0.275871, 1.933786, 0.004789, 1.598262 
2450, 0.213789, 0.025757, 0.085942, 5.220141, 0.025783, 4.898038, 0.294983, 0.027470, 0.284515, 1.967838, 0.004805, 1.752090 
2500, 0.093120, 0.025492, 0.213723, 5.427298, 0.026618, 4.783404, 0.427329, 0.027851, 0.287898, 1.980402, 0.004834, 1.763405 
2550, 0.221797, 0.026062, 0.218646, 5.447355, 0.025671, 4.966177, 0.305950, 0.028219, 0.419151, 1.997802, 0.004817, 1.779466 
2600, 0.225399, 0.025844, 0.219776, 5.508192, 0.025778, 4.975684, 0.438143, 0.027782, 0.300453, 2.020250, 0.004792, 1.924531 
2650, 0.229226, 0.025931, 0.224004, 5.549868, 0.149997, 5.051951, 0.445050, 0.028325, 0.306275, 2.163403, 0.004959, 1.818550 
2700, 0.232594, 0.151552, 0.101239, 5.727200, 0.025278, 5.199594, 0.451989, 0.027277, 0.312610, 2.189369, 0.004894, 1.963784 
2750, 0.236241, 0.025502, 0.229346, 5.806891, 0.025429, 5.244331, 0.460435, 0.027659, 0.444335, 2.207834, 0.004792, 1.854972 
2800, 0.239848, 0.025513, 0.239927, 5.831400, 0.150358, 5.293626, 0.467166, 0.027577, 0.451860, 2.104446, 0.004802, 2.001404 
2850, 0.245607, 0.025570, 0.243816, 6.030892, 0.027203, 5.465908, 0.474078, 0.028033, 0.457980, 2.255055, 0.004793, 2.018113 
2900, 0.245960, 0.152364, 0.114835, 6.189671, 0.027104, 5.512181, 0.481911, 0.027889, 0.472424, 2.289115, 0.129391, 2.043747 
2950, 0.250766, 0.025556, 0.243845, 6.238561, 0.027079, 5.891502, 0.490114, 0.028067, 0.471319, 2.291817, 0.004900, 2.056952 
3000, 0.255032, 0.026265, 0.246972, 6.295068, 0.152841, 5.757246, 0.498083, 0.028398, 0.478224, 2.314352, 0.004841, 2.202105 
3050, 0.258349, 0.026314, 0.251860, 6.472643, 0.027359, 5.904087, 0.505264, 0.028571, 0.485764, 2.462058, 0.004956, 2.095013 
3100, 0.266402, 0.027373, 0.267147, 6.699242, 0.026393, 5.957977, 0.591979, 0.154465, 0.493168, 2.358977, 0.004915, 2.242482 
3150, 0.266135, 0.025964, 0.259507, 6.701860, 0.026247, 6.024802, 0.521685, 0.153486, 0.500997, 2.506837, 0.005090, 2.264602 
3200, 0.272402, 0.151886, 0.262211, 6.775884, 0.026502, 6.057037, 0.656465, 0.028628, 0.508665, 2.529305, 0.004949, 2.409080 
3250, 0.275260, 0.026106, 0.267130, 6.955861, 0.026686, 6.219320, 0.538453, 0.154394, 0.523192, 2.549497, 0.004814, 2.425076 
3300, 0.279546, 0.026423, 0.395568, 6.854920, 0.151700, 6.300462, 0.548086, 0.154990, 0.525575, 2.572583, 0.129843, 2.328205 
3350, 0.411124, 0.026662, 0.277016, 7.197044, 0.027009, 6.479639, 0.562258, 0.155225, 0.534081, 2.718648, 0.004863, 2.341182 
3400, 0.290276, 0.026907, 0.279198, 7.241058, 0.152608, 6.499327, 0.565173, 0.029643, 0.665198, 2.736943, 0.004734, 2.485247 
3450, 0.293547, 0.026188, 0.408258, 7.266842, 0.027083, 6.684637, 0.574490, 0.029353, 0.672668, 2.761731, 0.004798, 2.504132 
3500, 0.422616, 0.027049, 0.286358, 7.450382, 0.026636, 6.712005, 0.583715, 0.154400, 0.556637, 2.811616, 0.130697, 2.524942 
3550, 0.428603, 0.027006, 0.290345, 7.503297, 0.026762, 6.765981, 0.717246, 0.028981, 0.690013, 2.803131, 0.004834, 2.671762 
3600, 0.433402, 0.026488, 0.296578, 7.707077, 0.027741, 6.808337, 0.727931, 0.155410, 0.574922, 2.951029, 0.004919, 2.566170 
3650, 0.311361, 0.026449, 0.424652, 7.729514, 0.027915, 7.008498, 0.737380, 0.030448, 0.707718, 2.974260, 0.005501, 2.586499 
3700, 0.317598, 0.026156, 0.429587, 7.991487, 0.027959, 7.026105, 0.747363, 0.029845, 0.714885, 3.026858, 0.004784, 2.730888 
3750, 0.448312, 0.026583, 0.432425, 7.834032, 0.153038, 7.076394, 0.757607, 0.154713, 0.599219, 3.147194, 0.004835, 2.752105 
3800, 0.452039, 0.026275, 0.314321, 8.167401, 0.028503, 7.252000, 0.767819, 0.030104, 0.732966, 3.043106, 0.004731, 2.896261 
3850, 0.456600, 0.026990, 0.458315, 8.077722, 0.028085, 7.445755, 0.776976, 0.029982, 0.745321, 3.197033, 0.004872, 2.794934 
3900, 0.337328, 0.151556, 0.322979, 8.245089, 0.027701, 7.493110, 0.914384, 0.029721, 0.752425, 3.215375, 0.005187, 2.816908 
3950, 0.343435, 0.026193, 0.452664, 8.433615, 0.028295, 7.510487, 0.797550, 0.030280, 0.885852, 3.266348, 0.004794, 2.835177 
4000, 0.474193, 0.026932, 0.331569, 8.483706, 0.154054, 7.566773, 0.940590, 0.030855, 0.777408, 3.434913, 0.005310, 3.089777 
4050, 0.493494, 0.029804, 0.478357, 8.532891, 0.028146, 7.942797, 0.817430, 0.030351, 0.906368, 3.286042, 0.004834, 3.000906 
4100, 0.484646, 0.027751, 0.468497, 8.735875, 0.026474, 7.904565, 0.829687, 0.031436, 0.916813, 3.305395, 0.004791, 3.022282 
4150, 0.490983, 0.027945, 0.472524, 8.786686, 0.026786, 7.952467, 0.965554, 0.032069, 0.800580, 3.662070, 0.004891, 3.043630 
