Number of buckets, Update linear, Percentile linear, Mixed linear, Update exponential, Percentile exponential, Mixed exponential, Update custom, Percentile custom, Mixed custom, Update all, Percentile all, Mixed all\n
2100, 0.028260, 0.036776, 0.032875, 0.027052, 0.034171, 0.031124, 0.031197, 0.037976, 0.035442, 0.035300, 0.005311, 0.043469 
2150, 0.031749, 0.039490, 0.035698, 0.029320, 0.036705, 0.036092, 0.033999, 0.041225, 0.038758, 0.037589, 0.005055, 0.042786 
2200, 0.028960, 0.036713, 0.032586, 0.028071, 0.036231, 0.032952, 0.031942, 0.037857, 0.035543, 0.035231, 0.005047, 0.039349 
2250, 0.029773, 0.036426, 0.032444, 0.027777, 0.035482, 0.032113, 0.031935, 0.038533, 0.035806, 0.035153, 0.005040, 0.039192 
2300, 0.029252, 0.036349, 0.032330, 0.030506, 0.035596, 0.032417, 0.031926, 0.039286, 0.036560, 0.035595, 0.005101, 0.039122 
2350, 0.028682, 0.036224, 0.032397, 0.027795, 0.035257, 0.032247, 0.032274, 0.038106, 0.036661, 0.035498, 0.005063, 0.039793 
2400, 0.029288, 0.037324, 0.032648, 0.027864, 0.034613, 0.032026, 0.032045, 0.041009, 0.036032, 0.035134, 0.005129, 0.038758 
2450, 0.029457, 0.036589, 0.032806, 0.027777, 0.034250, 0.031623, 0.032280, 0.038760, 0.036958, 0.035910, 0.005167, 0.039176 
2500, 0.029323, 0.036900, 0.033503, 0.027977, 0.034658, 0.031633, 0.033054, 0.038297, 0.036647, 0.035391, 0.005057, 0.039076 
2550, 0.029165, 0.036871, 0.033012, 0.027817, 0.035404, 0.031779, 0.032787, 0.038592, 0.036602, 0.035393, 0.005054, 0.039457 
2600, 0.029341, 0.036826, 0.032860, 0.028286, 0.034985, 0.032011, 0.033338, 0.039042, 0.037439, 0.036266, 0.005146, 0.039536 
2650, 0.029409, 0.036712, 0.033339, 0.030483, 0.034573, 0.032098, 0.033058, 0.038764, 0.038042, 0.035715, 0.005064, 0.039707 
2700, 0.029441, 0.036578, 0.033178, 0.028380, 0.034940, 0.031950, 0.033306, 0.039054, 0.037536, 0.042387, 0.006888, 0.057690 
2750, 0.030205, 0.036820, 0.033253, 0.028341, 0.034495, 0.032205, 0.036417, 0.039402, 0.037460, 0.036023, 0.005044, 0.040944 
2800, 0.029513, 0.036801, 0.033209, 0.028231, 0.034345, 0.031851, 0.034244, 0.039681, 0.037858, 0.035612, 0.005135, 0.039385 
2850, 0.029846, 0.037060, 0.035176, 0.030804, 0.037248, 0.032829, 0.033971, 0.039358, 0.037805, 0.038826, 0.005088, 0.040311 
2900, 0.029996, 0.037494, 0.034220, 0.028986, 0.037045, 0.032965, 0.034198, 0.039252, 0.038123, 0.036861, 0.005121, 0.040581 
2950, 0.029803, 0.036759, 0.033945, 0.029775, 0.037404, 0.032632, 0.034487, 0.039385, 0.038337, 0.036681, 0.005071, 0.040595 
3000, 0.033448, 0.036995, 0.034082, 0.028865, 0.037155, 0.033326, 0.035031, 0.039214, 0.038432, 0.037009, 0.005052, 0.040707 
3050, 0.030290, 0.036850, 0.034072, 0.028818, 0.037537, 0.032955, 0.034757, 0.040121, 0.038987, 0.036969, 0.005093, 0.041179 
3100, 0.030145, 0.036690, 0.033787, 0.030572, 0.036056, 0.032832, 0.034876, 0.039682, 0.039446, 0.037064, 0.005028, 0.040750 
3150, 0.030213, 0.036497, 0.033946, 0.028688, 0.036504, 0.032927, 0.035162, 0.039205, 0.039136, 0.037143, 0.005222, 0.040979 
3200, 0.030359, 0.038065, 0.035516, 0.029533, 0.037572, 0.033534, 0.037438, 0.039892, 0.039320, 0.036964, 0.005092, 0.041048 
3250, 0.030558, 0.037994, 0.034755, 0.028354, 0.035695, 0.032813, 0.036189, 0.041564, 0.039759, 0.036950, 0.005121, 0.041536 
3300, 0.030845, 0.038064, 0.034502, 0.029081, 0.035816, 0.032858, 0.035885, 0.040280, 0.039641, 0.039807, 0.005042, 0.041664 
3350, 0.030536, 0.038091, 0.035362, 0.028723, 0.035134, 0.032816, 0.035976, 0.040126, 0.039880, 0.038295, 0.005155, 0.041405 
3400, 0.030862, 0.037691, 0.034870, 0.029227, 0.035151, 0.033378, 0.036899, 0.040283, 0.040055, 0.037537, 0.005088, 0.041313 
3450, 0.030884, 0.037370, 0.034866, 0.028919, 0.035820, 0.033321, 0.036359, 0.040145, 0.040271, 0.037673, 0.005123, 0.041485 
3500, 0.032058, 0.037788, 0.034832, 0.028856, 0.035192, 0.032833, 0.036737, 0.040649, 0.040808, 0.037646, 0.005200, 0.041418 
3550, 0.031254, 0.037898, 0.037432, 0.028984, 0.035014, 0.032920, 0.037287, 0.041252, 0.040686, 0.037837, 0.005115, 0.041607 
3600, 0.031104, 0.042571, 0.039184, 0.030429, 0.036927, 0.034850, 0.037278, 0.041691, 0.041585, 0.038609, 0.005153, 0.043303 
3650, 0.031594, 0.037903, 0.034929, 0.030224, 0.038805, 0.034183, 0.037052, 0.040817, 0.041632, 0.038676, 0.005025, 0.042165 
3700, 0.031392, 0.037365, 0.035161, 0.030279, 0.037101, 0.034117, 0.037548, 0.041093, 0.041614, 0.038910, 0.005100, 0.042476 
3750, 0.031906, 0.037983, 0.035396, 0.030236, 0.036880, 0.034140, 0.040003, 0.041384, 0.041537, 0.038288, 0.005025, 0.042856 
3800, 0.031527, 0.037575, 0.035237, 0.030220, 0.036812, 0.033921, 0.037790, 0.041221, 0.041728, 0.038472, 0.005012, 0.042833 
3850, 0.041918, 0.038462, 0.035996, 0.030847, 0.036731, 0.034388, 0.038026, 0.044034, 0.042900, 0.038907, 0.005129, 0.042855 
3900, 0.032282, 0.037869, 0.035658, 0.030374, 0.036899, 0.033971, 0.038180, 0.043055, 0.042589, 0.039290, 0.005065, 0.043105 
3950, 0.032075, 0.038284, 0.035958, 0.030250, 0.037142, 0.034239, 0.038310, 0.041566, 0.042190, 0.041187, 0.005195, 0.042955 
4000, 0.031851, 0.038515, 0.036342, 0.029939, 0.036765, 0.034064, 0.038719, 0.041463, 0.042862, 0.039765, 0.005065, 0.043570 
4050, 0.032453, 0.038011, 0.036167, 0.030389, 0.036971, 0.034564, 0.039356, 0.041964, 0.042943, 0.040362, 0.005054, 0.046621 
4100, 0.034423, 0.039549, 0.038883, 0.029191, 0.034979, 0.032663, 0.044036, 0.042827, 0.045359, 0.041285, 0.005133, 0.045841 
4150, 0.033978, 0.039870, 0.038357, 0.029113, 0.035096, 0.032865, 0.040854, 0.043673, 0.044790, 0.040366, 0.005062, 0.043916 
4200, 0.034427, 0.040145, 0.037743, 0.028736, 0.035773, 0.033306, 0.040805, 0.043448, 0.044691, 0.040086, 0.004982, 0.043917 
4250, 0.034172, 0.040288, 0.038413, 0.029065, 0.035133, 0.033008, 0.041314, 0.043259, 0.045591, 0.040363, 0.005069, 0.044102 
4300, 0.036288, 0.040220, 0.038129, 0.028683, 0.034556, 0.033023, 0.042003, 0.043317, 0.045185, 0.040612, 0.005043, 0.044045 
4350, 0.035031, 0.049071, 0.038321, 0.028863, 0.035099, 0.032919, 0.041927, 0.059415, 0.050520, 0.040696, 0.005131, 0.044571 
4400, 0.034360, 0.042612, 0.039216, 0.030438, 0.035914, 0.034317, 0.042343, 0.043413, 0.045436, 0.040929, 0.005098, 0.044657 
4450, 0.035233, 0.040317, 0.040075, 0.029944, 0.035960, 0.033544, 0.041892, 0.043842, 0.045669, 0.041737, 0.005080, 0.045431 
4500, 0.034534, 0.040096, 0.040605, 0.029826, 0.036027, 0.033834, 0.042483, 0.044253, 0.045925, 0.041232, 0.005096, 0.045026 
4550, 0.034682, 0.041961, 0.038528, 0.029783, 0.035971, 0.033437, 0.042605, 0.044780, 0.045944, 0.041962, 0.005175, 0.045392 
4600, 0.034795, 0.039966, 0.041312, 0.029586, 0.036432, 0.033359, 0.042241, 0.044945, 0.046434, 0.041455, 0.005054, 0.045127 
4650, 0.034828, 0.040435, 0.039000, 0.029330, 0.035677, 0.033210, 0.043127, 0.044560, 0.046624, 0.041255, 0.005007, 0.045421 
4700, 0.035047, 0.040038, 0.038642, 0.031360, 0.035042, 0.033628, 0.042617, 0.044070, 0.048651, 0.041445, 0.005078, 0.045712 
4750, 0.035475, 0.040507, 0.040703, 0.029531, 0.035473, 0.033503, 0.043484, 0.044519, 0.047620, 0.041392, 0.005165, 0.045972 
4800, 0.035153, 0.040494, 0.039160, 0.028971, 0.037397, 0.033093, 0.043151, 0.044102, 0.047441, 0.042272, 0.005071, 0.045447 
4850, 0.035201, 0.040658, 0.039144, 0.030261, 0.035354, 0.033391, 0.043790, 0.044794, 0.047510, 0.041890, 0.005148, 0.045902 
4900, 0.035627, 0.040935, 0.039397, 0.030287, 0.037115, 0.033693, 0.044050, 0.044535, 0.048277, 0.042770, 0.005114, 0.045513 
4950, 0.035707, 0.041019, 0.039774, 0.030268, 0.035864, 0.033497, 0.044393, 0.045465, 0.048532, 0.042609, 0.005105, 0.045910 
5000, 0.035902, 0.042158, 0.039312, 0.029146, 0.037688, 0.032965, 0.044593, 0.046685, 0.048774, 0.042992, 0.005058, 0.046100 
